"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"217";"Sarilar";"node";"node_24";"node";0,084086681079994;0,300628491620112;0,216541810540118
"218";"Yarimca bridge";"bridge";"node_25";"node";0,0196691638594198;0,0406025538707103;0,0209333900112905
"219";"Güngürge";"settlement";"node_26";"node";0,0248579616873649;0,065243415802075;0,0403854541147101
"220";"Bedirköy";"settlement";"node_27";"node";0,0431695912313339;0,11956304868316;0,0763934574518265
"221";"Günalti";"settlement";"node_29";"node";0,067293478807381;0,355097765363128;0,287804286555748
"222";"Abarara";"station";"node_30";"node";0,335059580672734;0,0355147645650439;-0,29954481610769
"223";"Deir Sawwan";"node";"node_31";"node";0,202966463874503;0,263567438148444;0,0606009742739403
"224";"Meleagrum";"settlement";"node_32";"node";0,0534164613605511;0,1908419792498;0,137425517889249
"225";"Şekerdere";"node";"node_33";"node";0,00684800643571824;0;-0,00684800643571824
"226";"Eragiza";"fort";"node_37";"node";0,0292121273065514;0,0881384676775738;0,0589263403710225
"227";"Thiltauri";"station";"node_39";"node";0,114998240233295;0,309457302474062;0,194459062240767
"228";"Blass";"node";"node_40";"node";0,0511237367389009;0,079060255387071;0,0279365186481701
"229";"Soura";"fort";"node_42";"node";0,0336366835939464;0,0701815642458101;0,0365448806518637
"230";"Bouqruss Foqani";"node";"node_45";"node";0,0187641409824526;0,0339185953711093;0,0151544543886567
"231";"Oriza";"fort";"node_46";"node";0,0793503946905325;0,151935355147646;0,0725849604571132
"232";"Acadama";"fort";"node_47";"node";0,00672733671878928;0,0365622505985634;0,0298349138797742
"233";"Occaraba";"fort";"node_48";"node";0,00897983810146312;0,169742617717478;0,160762779616015
"234";"Deleda";"settlement";"node_49";"node";0,87976268289004;0,601556264964086;-0,278206417925953
"235";"Juwaykhat";"node";"node_51";"node";0,0683895620694856;0,0295790103750998;-0,0388105516943859
"236";"Tell Sarin";"settlement";"node_52";"node";0,0758308612801046;0,165652434158021;0,0898215728779162
"237";"Simyra";"settlement";"node_55";"node";0,115832872442053;0,175129688747007;0,0592968163049538
"238";"Orthosia";"settlement";"node_56";"node";0,177967720850722;0,272446129289705;0,0944784084389832
"239";"Jisr esh-Shughur";"node";"node_58";"node";0,0630499270953793;0,0409517158818835;-0,0220982112134959
"240";"Tell Qarqur";"settlement";"node_59";"node";0,150143295288853;0,0849461292897047;-0,0651971659991484
"241";"Charandama";"settlement";"node_60";"node";0,125295389411232;0,147845171588188;0,022549782176956
